,rms_spike,rms_lfp,gamma,alpha,beta,delta,theta,peaks,targets
74,0.0930283702505,7.02515428503,11.2673545438,102.89610956,39.7731060876,44.6127997317,81.0315275438,20.0,caudate putamen
75,0.0996721622465,6.45363801755,11.2595728347,91.4544694341,36.9193904085,40.1297644673,71.7987474366,19.0,caudate putamen
76,0.102034819302,6.83716123863,11.0345478127,100.290774275,38.646085546,44.2255547562,79.4334944843,20.0,caudate putamen
77,0.101010304826,5.36256333928,10.2652073994,69.426714926,30.541741748,30.7790949984,54.1954055952,18.0,caudate putamen
78,0.0931495399051,7.01577973251,11.1863883807,103.171027855,39.8553142985,44.5482880529,81.2583163073,43.0,caudate putamen
79,0.0961456514074,6.89991488378,11.4918903726,98.5139103496,39.4168101511,43.2928511753,77.6511450272,28.0,caudate putamen
80,0.103848196485,6.79610674487,11.2973047523,97.8630416706,38.4072642936,42.3160446075,76.9122618206,27.0,caudate putamen
81,0.0990131862691,6.50106120924,11.0041177896,91.8261034308,36.7761360809,40.0434543676,72.1834118093,19.0,caudate putamen
82,0.0962322749037,6.7515870848,11.1596182833,96.8495467752,38.2949418716,41.8828392584,76.1065324834,25.0,caudate putamen
83,0.0934513635382,7.00211296036,11.3151187769,101.87299012,39.8137476624,43.7222241493,80.0296531576,39.0,caudate putamen
84,0.0958158768371,6.33997998954,11.0142038995,88.9155460992,35.8245954049,39.0170613892,70.1325093541,20.0,caudate putamen
85,0.0980128134603,6.34956137331,11.0109280028,89.4730989457,36.0714886277,39.2217893768,70.5049917946,29.0,caudate putamen
86,0.0881230387827,6.65575558995,10.9752813098,96.4333221894,37.7788288982,41.8366726489,76.0428794131,15.0,caudate putamen
